m,k,bestFI,avgFI,avgTimeFI,avgNumGenerationsFI,avgFirstFeasibleGenerationFI,avgBestSolutionGenerationFI,avgBestSolutionTimeFI,bestILP,avgILP,avgTimeILP,avgNumGenerationsILP,avgFirstFeasibleGenerationILP,avgBestSolutionGenerationILP,avgBestSolutionTimeILP
2,1,301,305.5,3642.2801026,53.9,0.0,31.8,2164.059198,271,278.3,3639.4527654999997,38.0,0.0,32.9,3130.1009904000002
2,2,589,593.1,3651.0480962999995,52.0,0.0,40.9,2881.4861819000002,551,555.8,3655.4104820000007,37.4,0.0,35.0,3413.405540499999
3,1,269,272.8,3627.7834992999997,46.6,0.0,25.1,1974.9877881,242,246.0,3652.6848613,31.8,0.0,30.1,3434.4480395
3,2,511,521.8,3652.6413816,45.5,0.0,34.0,2742.842276,489,494.3,3634.1057347999995,32.0,0.0,29.4,3330.1524470000004
3,3,2048,2056.2,3645.9306743,43.9,0.0,32.5,2713.9538559000002,1947,1957.0,3659.7129923,31.6,0.0,31.3,3622.9505941999996
4,1,148,150.9,3632.7217203,44.8,2.1,31.9,2592.1133935999997,124,130.7,3708.0201172,28.0,4.2,25.8,3307.3845868000003
4,2,353,360.6,3651.1676845,43.3,0.0,31.3,2646.3108244000005,331,336.0,3650.4777277000003,31.1,0.0,29.5,3459.5343896
4,3,693,696.4,3641.0208345,41.7,0.0,28.4,2482.7478407999997,648,655.0,3649.0344495,30.4,0.0,29.6,3552.8357613
4,4,1886,1900.1,3647.7865209999995,42.8,0.0,30.8,2634.923264,1787,1803.7,3662.9627116,31.7,0.0,31.0,3581.0697655999998
5,1,130,136.6,3642.0685364000005,57.2,7.1,32.4,2072.1619858999998,110,115.5,3696.1206443999995,32.1,4.9,30.5,3374.4910202
5,2,249,255.0,3639.8754657,55.7,0.0,42.6,2786.5054102999998,223,225.7,3670.5314714,39.0,0.0,37.3,3482.3201163999997
5,3,511,520.1,3617.2412452999997,53.9,0.0,38.4,2587.202111,474,477.3,3647.9438212,40.0,0.0,39.2,3573.2823421000003
5,4,1448,1459.9,3626.4888719,54.8,0.0,38.5,2558.058256,1349,1353.8,3637.2171831,41.1,0.0,40.7,3599.5198616000002
5,5,1896,1906.1,3626.6233982999997,55.7,0.0,39.7,2597.5576593000005,1773,1788.3,3653.7347675000005,42.1,0.0,41.4,3589.0030483999994
